Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BSWU;Object Oriented Software Construction;26 of 69;37;4.31;23 of 69;33;5.04;22 of 69;31;4.77;25 of 69;36;4.84;25 of 69;36;2.56;26 of 69;37;5.08
BSWU;Project Cluster: Bachelor's Project;10 of 34;29;5.00;8 of 34;23;4.50;8 of 34;23;4.62;8 of 34;23;5.38;8 of 34;23;4.75;8 of 34;23;5.38
BSWU;Project cluster: First-year Project;23 of 65;35;4.48;21 of 65;32;4.81;23 of 65;35;4.70;23 of 65;35;5.35;24 of 65;36;3.79;22 of 65;33;4.86
BSWU;Project cluster: Second Year Project;26 of 59;44;4.92;25 of 59;42;4.72;25 of 59;42;4.96;26 of 59;44;5.19;25 of 59;42;3.84;26 of 59;44;5.15
BSWU;Reflections on IT;14 of 39;35;3.07;12 of 39;30;4.83;12 of 39;30;5.08;13 of 39;33;2.46;13 of 39;33;3.08;13 of 39;33;3.92
BSWU;System Development and Project Organisation;25 of 61;40;4.36;21 of 61;34;5.00;20 of 61;32;5.15;24 of 61;39;5.08;23 of 61;37;2.87;24 of 61;39;3.96
KDDK;Basic Graphic Design - group 2;11 of 28;39;4.91;10 of 28;35;5.60;10 of 28;35;5.50;11 of 28;39;4.91;11 of 28;39;4.73;11 of 28;39;4.55
KDDK;Digital Culture and Society;8 of 20;40;5.38;8 of 20;40;5.25;8 of 20;40;4.62;8 of 20;40;5.38;7 of 20;35;3.29;8 of 20;40;4.25
KDDK;Digital Rhetorics;34 of 86;39;4.32;31 of 86;36;5.16;30 of 86;34;5.20;32 of 86;37;4.38;33 of 86;38;4.09;33 of 86;38;4.39
KDDK;Digtal Aesthetics: Theory and Practice;12 of 34;35;4.00;11 of 34;32;4.45;11 of 34;32;4.73;12 of 34;35;3.17;11 of 34;32;3.36;12 of 34;35;4.17
KDDK;Experimental Design and Analysis;11 of 20;55;3.91;11 of 20;55;4.91;11 of 20;55;4.55;11 of 20;55;4.18;11 of 20;55;3.91;11 of 20;55;4.36
KDDK;Globalization, Organization and Communication;8 of 13;61;5.25;8 of 13;61;4.88;8 of 13;61;5.00;8 of 13;61;4.75;8 of 13;61;3.38;8 of 13;61;4.62
KDDK;Innovation, Concept Development and Project Management;37 of 71;52;3.38;35 of 71;49;3.23;33 of 71;46;3.58;37 of 71;52;4.38;36 of 71;50;2.81;35 of 71;49;4.20
KDDK;Interaction Design;33 of 64;51;4.94;33 of 64;51;5.03;31 of 64;48;5.03;32 of 64;50;4.94;32 of 64;50;4.22;32 of 64;50;5.03
KDDK;Interactive Multimedia;9 of 23;39;5.33;9 of 23;39;5.56;9 of 23;39;5.33;9 of 23;39;4.11;9 of 23;39;3.11;9 of 23;39;4.33
KDDK;Introduction to Scripting, Databases and System Architecture;40 of 93;43;3.65;40 of 93;43;4.53;38 of 93;40;4.53;40 of 93;43;3.45;39 of 93;41;4.21;40 of 93;43;4.80
KDDK;Media and Communication;29 of 75;38;4.34;29 of 75;38;5.00;29 of 75;38;4.86;29 of 75;38;4.03;28 of 75;37;3.68;29 of 75;38;4.48
KDDK;Mobile Communication: Technical Issues and Methods for Study;4 of 17;23;5.50;4 of 17;23;6.00;4 of 17;23;5.75;4 of 17;23;4.50;4 of 17;23;3.50;4 of 17;23;5.50
KDDK;Projektklynge: Specialeworkshop (DDK);4 of 35;11;5.75;4 of 35;11;5.75;4 of 35;11;5.75;3 of 35;8;5.33;3 of 35;8;4.33;4 of 35;11;5.50
KDDK;Situational Methods for Digital Studies;5 of 8;62;5.60;5 of 8;62;5.20;5 of 8;62;5.20;5 of 8;62;4.60;5 of 8;62;4.20;4 of 8;50;5.50
KDDK;Usability and Accessibility;7 of 20;35;4.86;7 of 20;35;4.71;7 of 20;35;5.00;7 of 20;35;5.57;7 of 20;35;3.71;7 of 20;35;4.57
KDDK;Web Design and Web Communication group 1;33 of 76;43;5.73;33 of 76;43;5.42;32 of 76;42;5.53;33 of 76;43;5.36;32 of 76;42;4.16;33 of 76;43;5.18
KDDK;Web Design and Web Communication group 2;13 of 39;33;5.23;13 of 39;33;5.31;13 of 39;33;5.46;13 of 39;33;5.38;13 of 39;33;3.85;13 of 39;33;5.00
KEBUSS;B1 Strategic and tactical tools for e-business;7 of 38;18;4.71;7 of 38;18;5.14;7 of 38;18;4.57;7 of 38;18;4.86;7 of 38;18;4.14;7 of 38;18;4.57
KEBUSS;B19 IT-Strategy;16 of 37;43;5.56;16 of 37;43;5.31;16 of 37;43;5.19;16 of 37;43;5.69;15 of 37;40;3.27;16 of 37;43;5.00
KEBUSS;B31 The Internet as A Battlefield - Competing With Digital Goods and Services;16 of 32;50;5.25;16 of 32;50;5.25;16 of 32;50;5.19;16 of 32;50;5.06;16 of 32;50;3.31;16 of 32;50;4.25
KEBUSS;B32  Social Media Management  ;14 of 48;29;4.57;14 of 48;29;4.64;14 of 48;29;4.86;14 of 48;29;5.36;14 of 48;29;4.14;14 of 48;29;4.36
KEBUSS;P1 National Internet Law;17 of 57;29;5.41;17 of 57;29;5.35;17 of 57;29;5.41;17 of 57;29;4.76;17 of 57;29;3.12;17 of 57;29;5.06
KEBUSS;P5 Legal Aspects of Starting Up an IT Business;4 of 28;14;4.75;4 of 28;14;4.00;4 of 28;14;3.75;4 of 28;14;5.50;4 of 28;14;2.25;4 of 28;14;3.75
KEBUSS;SF23 Perspectives on e-business;14 of 38;36;3.57;14 of 38;36;3.29;14 of 38;36;3.43;14 of 38;36;3.21;14 of 38;36;2.86;14 of 38;36;4.36
KEBUSS;T1 Introduction to programming and distributed systems;7 of 36;19;4.43;7 of 36;19;4.86;7 of 36;19;5.29;7 of 36;19;3.57;7 of 36;19;4.43;7 of 36;19;4.71
KEBUSS;T17 Social Media Analytics;24 of 64;37;3.42;23 of 64;35;3.22;24 of 64;37;3.75;24 of 64;37;5.17;24 of 64;37;3.71;24 of 64;37;4.12
KEBUSS;T6 IT-Security;8 of 14;57;4.62;8 of 14;57;4.50;8 of 14;57;4.25;8 of 14;57;4.62;8 of 14;57;3.25;8 of 14;57;4.25
KEBUSS;T8 Enterprise Architecture;15 of 36;41;4.60;14 of 36;38;4.93;14 of 36;38;4.86;15 of 36;41;4.47;15 of 36;41;3.40;15 of 36;41;4.20
KGAMES;3D Game Art;13 of 31;41;5.00;12 of 31;38;5.08;12 of 31;38;5.00;13 of 31;41;4.38;12 of 31;38;3.92;12 of 31;38;4.92
KGAMES;Data Mining;6 of 28;21;5.17;6 of 28;21;4.83;6 of 28;21;5.50;6 of 28;21;5.50;6 of 28;21;4.67;6 of 28;21;5.33
KGAMES;Digital Game Theory;10 of 16;62;4.90;8 of 16;50;5.12;8 of 16;50;5.12;10 of 16;62;4.80;10 of 16;62;3.40;10 of 16;62;4.40
KGAMES;From Concept Art to In-Game Graphics;13 of 24;54;5.62;13 of 24;54;5.23;13 of 24;54;5.31;13 of 24;54;5.15;13 of 24;54;3.08;13 of 24;54;4.31
KGAMES;Game Development;29 of 53;54;3.93;29 of 53;54;4.14;29 of 53;54;4.34;29 of 53;54;4.90;28 of 53;52;4.29;29 of 53;54;4.72
KGAMES;Persuasive and Serious Games;23 of 38;60;4.61;22 of 38;57;5.23;22 of 38;57;5.32;23 of 38;60;4.35;23 of 38;60;4.39;23 of 38;60;4.83
KGAMES;Programming for Game Designers;10 of 15;66;5.60;10 of 15;66;5.40;10 of 15;66;5.70;10 of 15;66;5.50;10 of 15;66;4.20;10 of 15;66;5.30
KGAMES;Project Cluster: Marketing and Game Journalism (Formerly Games and Journalism);4 of 9;44;3.50;4 of 9;44;4.00;4 of 9;44;4.50;4 of 9;44;4.00;4 of 9;44;2.25;4 of 9;44;3.50
KGAMES;Qualitative Methods;8 of 12;66;5.00;8 of 12;66;5.25;8 of 12;66;5.25;8 of 12;66;3.75;8 of 12;66;3.50;8 of 12;66;4.38
KSDT;Advanced Models and Programs;5 of 17;29;5.00;5 of 17;29;5.40;5 of 17;29;5.40;5 of 17;29;5.20;5 of 17;29;4.40;5 of 17;29;4.60
KSDT;Database Tuning I;11 of 40;27;4.82;10 of 40;25;4.50;10 of 40;25;4.40;12 of 40;30;4.67;12 of 40;30;4.67;12 of 40;30;4.75
KSDT;Database Tuning II;9 of 29;31;4.11;9 of 29;31;4.11;9 of 29;31;4.44;9 of 29;31;4.22;9 of 29;31;5.22;9 of 29;31;4.78
KSDT;Foundations of Computing - Algorithms and Data Structures;16 of 47;34;3.75;15 of 47;31;4.00;15 of 47;31;3.87;16 of 47;34;4.56;16 of 47;34;3.81;16 of 47;34;4.19
KSDT;Foundations of Computing - Discrete Mathematics;24 of 76;31;4.92;23 of 76;30;5.13;23 of 76;30;5.04;24 of 76;31;4.33;23 of 76;30;3.30;24 of 76;31;4.62
KSDT;Intelligent Systems Programming (formerly Efficient AI) ;29 of 74;39;4.69;27 of 74;36;4.85;27 of 74;36;4.74;29 of 74;39;4.62;29 of 74;39;4.21;29 of 74;39;4.41
KSDT;Introduction to Database Design;19 of 56;33;5.11;18 of 56;32;5.22;18 of 56;32;5.00;19 of 56;33;5.16;18 of 56;32;3.39;19 of 56;33;4.84
KSDT;Introduction to Graphics and Image Analysis (formerly Multimedia Technology);12 of 32;37;5.17;12 of 32;37;5.33;12 of 32;37;5.17;12 of 32;37;4.58;12 of 32;37;4.75;12 of 32;37;4.75
KSDT;Pervasive Computing (lectures);9 of 26;34;5.33;9 of 26;34;5.22;9 of 26;34;5.33;9 of 26;34;4.89;9 of 26;34;5.78;9 of 26;34;5.56
KSDT;Pervasive Computing Lab;3 of 13;23;5.67;3 of 13;23;5.67;3 of 13;23;5.33;3 of 13;23;5.00;3 of 13;23;4.33;3 of 13;23;4.67
KSDT;Project Cluster: Global Software Development;13 of 31;41;4.23;13 of 31;41;4.54;12 of 31;38;4.92;13 of 31;41;4.54;13 of 31;41;3.62;11 of 31;35;4.55
KSDT;Project Cluster: Programming Workshop;12 of 44;27;4.33;13 of 44;29;4.38;11 of 44;25;4.64;13 of 44;29;4.62;13 of 44;29;4.08;13 of 44;29;4.38
KSDT;Project Cluster: Smart Grid;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MILM;IT Project Management;12 of 34;35;5.08;12 of 34;35;5.25;12 of 34;35;5.08;12 of 34;35;5.33;12 of 34;35;3.50;12 of 34;35;5.25
MILS;Business Cases;14 of 27;51;3.71;14 of 27;51;3.50;14 of 27;51;4.21;14 of 27;51;5.64;14 of 27;51;2.07;14 of 27;51;4.29
MILS;Business Process Management;6 of 17;35;5.67;6 of 17;35;5.33;6 of 17;35;5.17;6 of 17;35;5.50;6 of 17;35;3.33;6 of 17;35;4.33
MILS;Business and Management;12 of 50;24;4.92;12 of 50;24;4.92;10 of 50;20;4.90;12 of 50;24;4.92;12 of 50;24;2.25;12 of 50;24;4.25
MILS;Enterprise Architecture (Master);2 of 26;7;5.00;2 of 26;7;5.00;2 of 26;7;5.00;2 of 26;7;5.50;2 of 26;7;2.00;2 of 26;7;5.00
MILS;IT Organisation of the future;5 of 17;29;5.20;5 of 17;29;4.60;5 of 17;29;4.40;4 of 17;23;5.75;5 of 17;29;3.80;5 of 17;29;5.20
MILS;Innovative Business Models using Mobile Units;5 of 16;31;4.20;5 of 16;31;4.00;5 of 16;31;3.80;5 of 16;31;4.20;6 of 16;37;2.67;6 of 16;37;4.83
MILS;Knowledge Management and Organizational Learning;7 of 16;43;5.43;7 of 16;43;5.57;7 of 16;43;5.00;7 of 16;43;5.43;7 of 16;43;3.14;7 of 16;43;4.14
MILS;Organization and Business Theory;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MILS;Outsourcing;6 of 6;100;5.33;6 of 6;100;5.17;6 of 6;100;4.50;6 of 6;100;5.50;6 of 6;100;3.50;6 of 6;100;4.67
MILS;Personal Management and Change Management;7 of 19;36;5.29;7 of 19;36;5.14;7 of 19;36;4.86;7 of 19;36;5.57;7 of 19;36;4.14;7 of 19;36;4.57
MILS;Presentation and Investigation;6 of 22;27;2.83;6 of 22;27;4.67;6 of 22;27;4.67;6 of 22;27;2.83;6 of 22;27;3.00;6 of 22;27;3.33
MILS;Project and Programme Management;4 of 8;50;3.50;3 of 8;37;4.00;3 of 8;37;3.67;4 of 8;50;4.75;4 of 8;50;2.75;4 of 8;50;5.50
MILS;Software Acquisition and Requirements;7 of 40;17;4.43;7 of 40;17;4.29;7 of 40;17;4.86;7 of 40;17;4.57;7 of 40;17;3.43;7 of 40;17;3.57
MINM;Basic Graphic Design - group 1;5 of 19;26;5.40;5 of 19;26;5.60;5 of 19;26;5.40;5 of 19;26;4.80;5 of 19;26;4.00;5 of 19;26;4.80
MINM;Concept Development and Interactive Digital Media;3 of 9;33;3.00;3 of 9;33;3.33;3 of 9;33;4.00;3 of 9;33;4.67;3 of 9;33;2.67;3 of 9;33;4.33
MINM;Dynamic Web Design;15 of 43;34;4.13;16 of 43;37;4.00;16 of 43;37;4.12;15 of 43;34;4.60;16 of 43;37;3.00;16 of 43;37;4.38
MINM;Interactive Multimedia;3 of 17;17;4.33;3 of 17;17;4.67;3 of 17;17;4.67;3 of 17;17;3.33;3 of 17;17;4.67;3 of 17;17;4.33
MINM;Target Group Analysis;4 of 5;80;5.50;3 of 5;60;5.00;4 of 5;80;5.25;4 of 5;80;5.75;4 of 5;80;3.50;4 of 5;80;4.75
MINM;Understanding Interaction Design CANCELLED;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MINM;Usability;14 of 31;45;5.36;13 of 31;41;5.23;12 of 31;38;5.42;13 of 31;41;5.31;12 of 31;38;3.25;13 of 31;41;4.85
MORI;Strategic Value Creation through Projects;3 of 11;27;4.00;3 of 11;27;3.33;3 of 11;27;4.00;3 of 11;27;4.67;3 of 11;27;2.67;3 of 11;27;4.33
MSOK;Advanced Software Engineering;22 of 73;30;2.77;21 of 73;28;3.90;20 of 73;27;4.00;21 of 73;28;3.19;22 of 73;30;3.36;21 of 73;28;4.05
MSOK;Cloud Computing;3 of 19;15;3.33;3 of 19;15;4.33;3 of 19;15;4.00;3 of 19;15;4.67;3 of 19;15;4.33;3 of 19;15;4.33
MSOK;Interactive Web Services with Java and XML;19 of 51;37;5.21;19 of 51;37;5.21;19 of 51;37;5.00;19 of 51;37;5.00;19 of 51;37;3.53;19 of 51;37;4.89
MSOK;Introductory Programming;12 of 45;26;5.00;11 of 45;24;4.73;11 of 45;24;4.91;12 of 45;26;5.17;11 of 45;24;4.00;12 of 45;26;4.50
MSOK;Object Oriented Programming;11 of 30;36;5.27;11 of 30;36;4.91;9 of 30;30;4.78;11 of 30;36;5.00;11 of 30;36;4.00;11 of 30;36;5.09
MSOK;Project Cluster: Introductory Academic Project;13 of 30;43;5.38;13 of 30;43;5.38;13 of 30;43;5.08;13 of 30;43;4.08;13 of 30;43;3.31;13 of 30;43;4.62
