Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
KDIM;Navigating Complexity Mapping Visualisation and Decisionmaking;22 of 31;70;4.64;22 of 31;70;4.95;21 of 31;67;4.76;22 of 31;70;4.14;22 of 31;70;4.18;22 of 31;70;4.55
KDIM;Open Innovation and Design;15 of 22;68;4.47;15 of 22;68;5.07;13 of 22;59;4.69;14 of 22;63;4.57;15 of 22;68;2.73;14 of 22;63;4.00
KDIM;Situated Analysis of Global Connections;7 of 11;63;5.86;7 of 11;63;5.43;7 of 11;63;5.14;5 of 11;45;3.80;7 of 11;63;3.86;7 of 11;63;4.86
KEBUSS;P5 Legal Aspects of Starting Up an IT Business;8 of 17;47;5.12;7 of 17;41;5.43;8 of 17;47;5.25;8 of 17;47;4.50;8 of 17;47;2.75;8 of 17;47;4.62
KEBUSS;SF23 Perspectives on e-business;19 of 72;26;3.74;19 of 72;26;4.47;19 of 72;26;4.47;19 of 72;26;2.63;19 of 72;26;2.37;19 of 72;26;4.11
KEBUSS;T24 Service Design;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KEBUSS;T8 Enterprise Architecture;10 of 40;25;4.50;9 of 40;22;4.89;10 of 40;25;5.00;10 of 40;25;4.50;10 of 40;25;4.30;10 of 40;25;4.70
KGAMES;3D Game Art;9 of 24;37;4.78;9 of 24;37;5.33;9 of 24;37;5.22;9 of 24;37;4.33;9 of 24;37;3.33;9 of 24;37;4.33
KGAMES;Artificial Life & Evolutionary Robotics: Theory, Methods and Art;14 of 23;60;4.64;13 of 23;56;4.85;13 of 23;56;5.23;14 of 23;60;3.93;13 of 23;56;3.23;14 of 23;60;4.79
KGAMES;Data Mining;36 of 83;43;4.83;33 of 83;39;5.12;32 of 83;38;4.88;35 of 83;42;4.46;34 of 83;40;3.56;36 of 83;43;4.69
KGAMES;Digital Game Theory;2 of 10;20;6.00;2 of 10;20;5.00;2 of 10;20;4.50;2 of 10;20;5.00;2 of 10;20;2.00;2 of 10;20;4.50
KGAMES;Entrepreneurship;6 of 21;28;4.00;6 of 21;28;5.17;5 of 21;23;5.20;6 of 21;28;4.33;6 of 21;28;3.17;6 of 21;28;4.33
KGAMES;From Concept Art to In-Game Graphics;9 of 24;37;5.22;9 of 24;37;4.78;9 of 24;37;5.00;9 of 24;37;4.89;9 of 24;37;2.67;9 of 24;37;4.33
KGAMES;Game Development;30 of 54;55;4.30;29 of 54;53;4.34;28 of 54;51;4.57;29 of 54;53;5.07;29 of 54;53;4.55;29 of 54;53;5.10
KGAMES;Interactive Narrative;7 of 15;46;4.57;7 of 15;46;5.00;7 of 15;46;5.29;7 of 15;46;4.57;7 of 15;46;2.43;7 of 15;46;3.71
KGAMES;Playful Design;9 of 20;45;5.56;9 of 20;45;5.56;9 of 20;45;5.33;9 of 20;45;5.11;9 of 20;45;5.11;9 of 20;45;5.22
KGAMES;Programming for Game Designers;14 of 23;60;4.93;14 of 23;60;5.86;14 of 23;60;5.86;14 of 23;60;4.43;13 of 23;56;3.54;13 of 23;56;4.85
KGAMES;Qualitative Methods;3 of 11;27;4.33;3 of 11;27;5.33;3 of 11;27;5.67;3 of 11;27;4.00;3 of 11;27;3.33;3 of 11;27;4.00
KSDT;Advanced Algorithms Seminar;7 of 18;38;5.14;7 of 18;38;5.29;7 of 18;38;5.00;7 of 18;38;5.00;7 of 18;38;3.86;7 of 18;38;4.71
KSDT;Advanced Models and Programs;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KSDT;Database Tuning I;11 of 36;30;4.91;11 of 36;30;4.55;10 of 36;27;4.70;11 of 36;30;5.27;11 of 36;30;3.91;11 of 36;30;4.55
KSDT;Database Tuning II;7 of 18;38;4.29;7 of 18;38;4.71;7 of 18;38;4.71;7 of 18;38;4.43;7 of 18;38;3.86;7 of 18;38;4.71
KSDT;Foundations of Computing - Algorithms and Data Structures;10 of 30;33;4.60;10 of 30;33;4.60;10 of 30;33;4.80;10 of 30;33;5.00;10 of 30;33;4.50;10 of 30;33;4.80
KSDT;Foundations of Computing - Discrete Mathematics;24 of 53;45;4.50;21 of 53;39;5.24;21 of 53;39;4.57;21 of 53;39;4.24;24 of 53;45;4.62;23 of 53;43;4.96
KSDT;Intelligent Systems Programming;25 of 64;39;5.48;22 of 64;34;5.64;22 of 64;34;5.45;25 of 64;39;5.48;25 of 64;39;4.24;25 of 64;39;5.00
KSDT;Introduction to Database Design;20 of 48;41;5.05;17 of 48;35;5.29;16 of 48;33;5.12;19 of 48;39;5.42;19 of 48;39;3.53;19 of 48;39;4.32
KSDT;Introduction to Graphics and Image Analysis;7 of 26;26;5.43;7 of 26;26;5.29;7 of 26;26;5.43;7 of 26;26;4.43;7 of 26;26;4.29;7 of 26;26;4.29
KSDT;Mathematical Analysis and Linear Algebra;7 of 15;46;5.00;7 of 15;46;5.29;7 of 15;46;4.71;7 of 15;46;5.00;7 of 15;46;3.14;7 of 15;46;4.00
KSDT;Model Driven Development Project;26 of 81;32;4.19;22 of 81;27;5.05;23 of 81;28;5.00;25 of 81;30;3.56;25 of 81;30;4.12;26 of 81;32;4.46
KSDT;Pervasive Computing (lectures);15 of 37;40;5.13;14 of 37;37;5.07;14 of 37;37;5.00;15 of 37;40;5.40;15 of 37;40;4.67;15 of 37;40;4.60
KSDT;Programming Workshop;20 of 40;50;4.90;18 of 40;45;5.11;16 of 40;40;5.00;19 of 40;47;5.42;20 of 40;50;4.35;19 of 40;47;5.21
KSDT;System Architecture and Security;14 of 36;38;3.93;12 of 36;33;4.00;12 of 36;33;4.58;13 of 36;36;4.77;13 of 36;36;3.85;13 of 36;36;5.08
MILM;Business Cases;6 of 36;16;5.83;6 of 36;16;5.67;6 of 36;16;5.67;6 of 36;16;5.17;6 of 36;16;2.33;6 of 36;16;5.00
MILM;Business and Management;11 of 48;22;5.55;11 of 48;22;5.45;10 of 48;20;5.10;11 of 48;22;5.18;11 of 48;22;2.91;10 of 48;20;4.60
MILM;Change Management;10 of 24;41;4.70;10 of 24;41;4.70;10 of 24;41;5.00;10 of 24;41;5.20;10 of 24;41;3.20;10 of 24;41;4.10
MILM;Enterprise Architecture (Master);16 of 53;30;5.06;16 of 53;30;4.81;16 of 53;30;5.00;16 of 53;30;4.81;16 of 53;30;3.00;16 of 53;30;4.25
MILM;IT Organisation of the future;12 of 25;48;5.08;12 of 25;48;4.75;11 of 25;44;4.82;12 of 25;48;5.08;12 of 25;48;3.17;12 of 25;48;4.08
MILM;IT Project and Programme Management;6 of 36;16;5.33;6 of 36;16;5.33;5 of 36;13;5.40;6 of 36;16;5.50;6 of 36;16;4.00;6 of 36;16;4.33
MILM;Organisation and business development;8 of 19;42;5.50;8 of 19;42;5.75;8 of 19;42;5.50;8 of 19;42;5.25;8 of 19;42;3.12;8 of 19;42;4.62
MILM;Practical & Strategic Communication;12 of 32;37;4.00;12 of 32;37;3.83;12 of 32;37;3.92;12 of 32;37;4.25;12 of 32;37;3.67;11 of 32;34;4.27
MILM;Project Cluster: IT Leadership and Management;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MILM;Software Acquisition and Requirements;10 of 36;27;5.70;8 of 36;22;5.75;10 of 36;27;5.60;10 of 36;27;5.40;10 of 36;27;4.10;10 of 36;27;4.90
MIND;Advanced Graphic Design;6 of 16;37;4.50;6 of 16;37;4.17;6 of 16;37;5.17;6 of 16;37;5.00;6 of 16;37;4.17;6 of 16;37;4.67
MIND;Digital Media - Interactive Design;3 of 14;21;5.33;3 of 14;21;5.33;3 of 14;21;5.33;3 of 14;21;4.67;3 of 14;21;3.67;3 of 14;21;3.67
MIND;Dynamic Web Design;8 of 26;30;4.75;8 of 26;30;5.00;8 of 26;30;5.00;8 of 26;30;4.12;8 of 26;30;3.50;8 of 26;30;4.00
MIND;Learning and IT;5 of 17;29;4.60;5 of 17;29;4.40;5 of 17;29;4.60;5 of 17;29;4.80;5 of 17;29;3.00;5 of 17;29;4.60
MIND;Projektklynge: Innovative Forretningsmodeller med Mobile Enheder - F2014;1 of 9;11;6.00;1 of 9;11;6.00;1 of 9;11;5.00;1 of 9;11;6.00;1 of 9;11;1.00;1 of 9;11;6.00
MIND;Service Design: Theory and Practice;9 of 19;47;5.22;9 of 19;47;5.44;9 of 19;47;5.11;9 of 19;47;4.89;8 of 19;42;4.38;9 of 19;47;4.78
MIND;Target Group Analysis and Design;7 of 12;58;5.57;6 of 12;50;5.00;6 of 12;50;5.17;7 of 12;58;5.14;7 of 12;58;3.14;7 of 12;58;5.00
MIND;Usability & User Experience - Methods and Communication;8 of 23;34;5.62;8 of 23;34;5.50;8 of 23;34;5.25;8 of 23;34;5.62;8 of 23;34;3.75;8 of 23;34;5.62
MSKO;Interactive Web Services with Java and XML;4 of 20;20;5.00;4 of 20;20;5.25;4 of 20;20;5.25;4 of 20;20;4.50;4 of 20;20;4.25;4 of 20;20;5.50
MSKO;Introductory Programming;21 of 40;52;4.90;19 of 40;47;5.32;18 of 40;45;5.22;21 of 40;52;5.24;21 of 40;52;3.52;21 of 40;52;5.43
MSKO;Mobile App Development;23 of 77;29;5.52;24 of 77;31;5.50;24 of 77;31;5.12;24 of 77;31;5.00;24 of 77;31;3.12;24 of 77;31;4.67
MSKO;Object Oriented Programming;16 of 33;48;4.94;16 of 33;48;4.94;14 of 33;42;5.07;16 of 33;48;5.06;16 of 33;48;4.19;16 of 33;48;4.62
MSKO;Project Cluster: Introductory Academic Project;6 of 22;27;5.67;6 of 22;27;5.50;6 of 22;27;5.00;6 of 22;27;3.83;6 of 22;27;3.83;6 of 22;27;4.83
