Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
KDDK;Innovation, Concept Development and Project Management;27 of 60;45;3.19;25 of 60;41;3.48;25 of 60;41;3.60;27 of 60;45;4.15;27 of 60;45;3.78;27 of 60;45;4.19
KDDK;Interaction Design;49 of 73;67;4.94;49 of 73;67;4.98;49 of 73;67;5.18;49 of 73;67;4.37;49 of 73;67;3.67;49 of 73;67;5.04
KDDK;Interactive Multimedia;16 of 38;42;5.19;16 of 38;42;5.19;16 of 38;42;5.31;16 of 38;42;4.56;15 of 38;39;3.60;16 of 38;42;4.31
KDDK;Introduction to Scripting, Databases and System Architecture;29 of 77;37;4.21;28 of 77;36;4.96;27 of 77;35;4.52;29 of 77;37;3.90;29 of 77;37;4.86;29 of 77;37;4.90
KDDK;Introductory 3D;7 of 13;53;4.43;7 of 13;53;3.86;6 of 13;46;4.17;7 of 13;53;4.29;7 of 13;53;4.00;7 of 13;53;4.00
KDDK;Media and Communication;41 of 68;60;4.39;41 of 68;60;5.12;40 of 68;58;5.22;41 of 68;60;4.22;41 of 68;60;4.80;41 of 68;60;4.34
KDDK;Mobile Communication: Design, Business and Social Context;6 of 8;75;5.33;6 of 8;75;5.17;6 of 8;75;4.50;6 of 8;75;5.33;6 of 8;75;2.33;6 of 8;75;4.67
KDDK;Project Cluster: Analysis of Qualitative Data: An Introduction to Disaster Research;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDDK;Situational Methods for Digital Studies;11 of 20;55;5.55;11 of 20;55;5.64;11 of 20;55;5.09;11 of 20;55;4.73;11 of 20;55;4.27;11 of 20;55;5.00
KDDK;Usability and Accessibility;7 of 13;53;4.86;7 of 13;53;4.71;7 of 13;53;4.00;7 of 13;53;5.00;7 of 13;53;2.57;7 of 13;53;4.43
KDDK;Web Design and Web Communication group 1;45 of 72;62;5.62;45 of 72;62;5.58;45 of 72;62;5.58;45 of 72;62;5.16;45 of 72;62;4.07;45 of 72;62;5.22
KDDK;Web Design and Web Communication group 2;22 of 52;42;5.59;22 of 52;42;5.32;22 of 52;42;5.41;22 of 52;42;5.41;22 of 52;42;4.23;21 of 52;40;5.43
KEBUSS;B1 Strategic and tactical tools for e-business;20 of 51;39;3.55;20 of 51;39;3.25;20 of 51;39;2.60;20 of 51;39;4.60;20 of 51;39;3.60;20 of 51;39;4.20
KEBUSS;B21 Project Management of IT Sourcing;10 of 30;33;5.50;10 of 30;33;5.50;10 of 30;33;5.10;10 of 30;33;5.80;10 of 30;33;4.40;10 of 30;33;4.40
KEBUSS;B22 Online marketing - advertising, consumers and communities;18 of 42;42;4.56;18 of 42;42;4.67;18 of 42;42;4.56;18 of 42;42;5.06;18 of 42;42;3.61;18 of 42;42;4.06
KEBUSS;B30 Enterprise Strategy, Business and Technology;10 of 34;29;5.70;10 of 34;29;5.30;10 of 34;29;5.30;10 of 34;29;5.80;10 of 34;29;4.90;10 of 34;29;4.80
KEBUSS;P1 National Internet Law;22 of 61;36;5.23;23 of 61;37;5.09;23 of 61;37;4.91;23 of 61;37;4.48;23 of 61;37;3.70;23 of 61;37;4.61
KEBUSS;Project Cluster: (B21) Project Management of IT Sourcing;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KEBUSS;Project cluster: (B25) Sustainable IT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KEBUSS;Project cluster: (B29) Network-Innovation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KEBUSS;Project cluster: P6. Government 2.0: EU and National Regulation and Policies;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KEBUSS;SF23 Perspectives on e-business;3 of 16;18;5.00;3 of 16;18;4.67;3 of 16;18;4.67;3 of 16;18;4.00;3 of 16;18;4.00;3 of 16;18;5.33
KEBUSS;T1 Introduction to programming and distributed systems;11 of 29;37;4.36;11 of 29;37;4.73;11 of 29;37;4.91;11 of 29;37;3.00;11 of 29;37;3.55;11 of 29;37;4.18
KEBUSS;T1 Introduction to programming and distributed systems;2 of 13;15;6.00;3 of 13;23;5.67;3 of 13;23;5.33;3 of 13;23;3.67;3 of 13;23;5.00;3 of 13;23;5.67
KEBUSS;T13 Business Intelligence;13 of 35;37;4.38;13 of 35;37;3.77;13 of 35;37;4.38;13 of 35;37;4.77;13 of 35;37;3.85;13 of 35;37;4.00
KEBUSS;T3 HCI Human and Technology;12 of 38;31;4.67;12 of 38;31;4.75;12 of 38;31;4.92;12 of 38;31;4.08;12 of 38;31;4.25;12 of 38;31;4.33
KMTG;Experimental Interaction;8 of 19;42;6.00;8 of 19;42;5.12;8 of 19;42;5.12;8 of 19;42;5.25;8 of 19;42;4.00;8 of 19;42;5.00
KMTG;Foundations of Play and Games;25 of 55;45;4.88;25 of 55;45;5.16;23 of 55;41;5.13;25 of 55;45;3.96;25 of 55;45;3.80;24 of 55;43;4.38
KMTG;From Concept Art to In-Game Graphics;5 of 8;62;4.20;5 of 8;62;4.80;5 of 8;62;4.60;5 of 8;62;4.60;5 of 8;62;3.60;5 of 8;62;4.20
KMTG;Game Design;34 of 71;47;5.47;33 of 71;46;5.36;31 of 71;43;5.13;34 of 71;47;5.15;34 of 71;47;4.00;34 of 71;47;4.59
KMTG;Game Engines;16 of 28;57;5.19;16 of 28;57;5.44;16 of 28;57;5.31;16 of 28;57;5.25;16 of 28;57;5.50;16 of 28;57;4.56
KMTG;Gameworlds as Fields for Expression;12 of 22;54;5.25;12 of 22;54;4.92;12 of 22;54;5.00;12 of 22;54;4.92;12 of 22;54;3.92;12 of 22;54;4.83
KMTG;Modern AI for Games;13 of 29;44;5.08;13 of 29;44;4.85;13 of 29;44;4.38;13 of 29;44;4.92;13 of 29;44;4.77;13 of 29;44;5.38
KMTG;Procedural Content Generation in Games;6 of 13;46;5.83;6 of 13;46;5.50;5 of 13;38;5.60;6 of 13;46;5.33;6 of 13;46;4.33;6 of 13;46;5.00
KMTG;Project Cluster: Advanced Game Theory;2 of 6;33;2.50;2 of 6;33;3.50;2 of 6;33;6.00;2 of 6;33;6.00;2 of 6;33;5.00;2 of 6;33;5.50
KMTG;User Experience and Prototyping;18 of 30;60;4.56;17 of 30;56;4.82;18 of 30;60;4.78;18 of 30;60;4.67;18 of 30;60;4.06;18 of 30;60;5.00
KSDT;Algorithm Design;14 of 29;48;5.36;14 of 29;48;5.36;14 of 29;48;5.14;14 of 29;48;5.29;14 of 29;48;2.93;14 of 29;48;4.57
KSDT;Building Database Systems;20 of 52;38;4.40;20 of 52;38;3.90;20 of 52;38;4.35;20 of 52;38;4.30;20 of 52;38;3.95;20 of 52;38;4.70
KSDT;Distributed Collaboration and Development;33 of 72;45;4.18;33 of 72;45;4.97;33 of 72;45;4.94;33 of 72;45;4.12;32 of 72;44;3.34;32 of 72;44;4.25
KSDT;Foundations of Computing - Algorithms and Data Structures;13 of 36;36;4.62;13 of 36;36;4.92;13 of 36;36;4.92;13 of 36;36;4.46;13 of 36;36;4.77;13 of 36;36;4.15
KSDT;Foundations of Computing - Discrete Mathematics;13 of 24;54;4.69;13 of 24;54;5.23;13 of 24;54;5.23;13 of 24;54;4.54;13 of 24;54;4.31;13 of 24;54;4.31
KSDT;Introduction to Database Design;17 of 47;36;4.94;17 of 47;36;4.88;17 of 47;36;4.71;18 of 47;38;4.94;17 of 47;36;4.71;18 of 47;38;5.17
KSDT;Introduction to Software Testing;32 of 75;42;3.97;31 of 75;41;4.68;29 of 75;38;4.34;32 of 75;42;3.72;31 of 75;41;3.16;32 of 75;42;4.22
KSDT;Introductory Programming;12 of 38;31;4.92;12 of 38;31;4.92;11 of 38;28;4.45;12 of 38;31;5.08;12 of 38;31;4.58;12 of 38;31;5.33
KSDT;Model Driven Development;38 of 84;45;3.87;39 of 84;46;4.62;37 of 84;44;4.59;37 of 84;44;3.43;36 of 84;42;3.53;37 of 84;44;4.19
KSDT;Pervasive Computing;20 of 36;55;5.05;18 of 36;50;4.89;17 of 36;47;5.00;18 of 36;50;5.06;18 of 36;50;4.83;18 of 36;50;4.56
KSDT;Programming Language Seminar;5 of 10;50;5.60;4 of 10;40;5.50;4 of 10;40;5.75;5 of 10;50;5.60;5 of 10;50;4.40;5 of 10;50;5.40
KSDT;Project Cluster: Programming Workshop;11 of 29;37;4.91;11 of 29;37;5.00;9 of 29;31;5.33;11 of 29;37;5.27;10 of 29;34;3.70;10 of 29;34;5.20
KSDT;System Architecture and Security;16 of 36;44;4.88;16 of 36;44;4.50;16 of 36;44;4.69;16 of 36;44;5.62;16 of 36;44;5.12;16 of 36;44;5.12
MILS;Business IT Alignment;18 of 43;41;3.83;18 of 43;41;4.39;18 of 43;41;4.33;18 of 43;41;4.72;18 of 43;41;4.33;18 of 43;41;4.50
MILS;Business and Management;19 of 45;42;5.58;17 of 45;37;5.29;17 of 45;37;5.24;19 of 45;42;5.47;19 of 45;42;3.00;19 of 45;42;4.32
MILS;E-government;7 of 12;58;6.00;7 of 12;58;5.86;7 of 12;58;5.71;7 of 12;58;5.57;7 of 12;58;3.43;7 of 12;58;4.29
MILS;IT Law;2 of 14;14;5.50;2 of 14;14;5.50;2 of 14;14;4.50;2 of 14;14;5.50;2 of 14;14;3.50;2 of 14;14;5.00
MILS;IT Service Management;3 of 12;25;5.67;3 of 12;25;5.67;3 of 12;25;5.67;3 of 12;25;5.67;3 of 12;25;3.67;3 of 12;25;4.33
MILS;Personal Management and Change Management;12 of 27;44;5.58;11 of 27;40;5.27;12 of 27;44;5.00;12 of 27;44;5.25;12 of 27;44;3.83;12 of 27;44;4.17
MILS;Presentation and Investigation;7 of 30;23;3.86;7 of 30;23;4.29;7 of 30;23;4.29;7 of 30;23;4.29;7 of 30;23;3.71;7 of 30;23;4.71
MINM;Basic Graphic Design - group 1;4 of 15;26;5.25;4 of 15;26;5.25;4 of 15;26;5.25;4 of 15;26;3.50;4 of 15;26;4.75;4 of 15;26;5.50
MINM;Concept Development and Interactive Digital Media;4 of 9;44;4.25;4 of 9;44;3.50;4 of 9;44;3.00;4 of 9;44;5.00;4 of 9;44;4.75;4 of 9;44;4.25
MINM;Dynamic Web Design;14 of 25;56;4.86;14 of 25;56;4.50;14 of 25;56;4.93;14 of 25;56;5.50;14 of 25;56;4.29;14 of 25;56;4.86
MINM;Interactive Multimedia;6 of 37;16;5.67;6 of 37;16;5.50;6 of 37;16;5.67;6 of 37;16;5.50;6 of 37;16;4.33;6 of 37;16;5.17
MINM;Learning and IT;8 of 21;38;4.00;8 of 21;38;4.38;8 of 21;38;4.50;8 of 21;38;4.50;8 of 21;38;2.75;8 of 21;38;4.00
MINM;Target Group Analysis;6 of 13;46;5.17;6 of 13;46;5.17;6 of 13;46;5.17;6 of 13;46;5.67;6 of 13;46;2.83;6 of 13;46;4.33
MINM;Understanding Interaction Design;9 of 16;56;5.22;8 of 16;50;5.12;8 of 16;50;5.12;8 of 16;50;4.62;8 of 16;50;2.50;9 of 16;56;4.89
MINM;Usability;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;3.00;1 of 12;8;6.00
MORI;Advanced IT Project Management;3 of 18;16;5.33;3 of 18;16;5.00;3 of 18;16;4.67;3 of 18;16;5.33;3 of 18;16;5.00;3 of 18;16;5.33
MORI;Advanced Organization Theory;4 of 10;40;5.50;4 of 10;40;5.50;4 of 10;40;5.50;4 of 10;40;5.25;4 of 10;40;2.50;4 of 10;40;4.00
MORI;Enterprise Systems;4 of 16;25;5.00;4 of 16;25;4.75;4 of 16;25;4.75;4 of 16;25;5.50;4 of 16;25;3.25;4 of 16;25;4.25
MORI;IT Project Management;9 of 26;34;5.00;9 of 26;34;5.56;9 of 26;34;5.33;9 of 26;34;5.22;9 of 26;34;2.89;9 of 26;34;4.89
MORI;IT Project Management and Software Products;12 of 34;35;4.42;12 of 34;35;5.00;12 of 34;35;5.08;12 of 34;35;4.75;12 of 34;35;3.75;12 of 34;35;4.08
MORI;IT Strategy;11 of 22;50;3.27;11 of 22;50;3.64;11 of 22;50;3.36;11 of 22;50;4.45;11 of 22;50;2.91;11 of 22;50;4.45
MORI;Strategic Value Creation of a Project;4 of 9;44;3.25;4 of 9;44;2.25;4 of 9;44;2.25;4 of 9;44;5.75;4 of 9;44;3.25;4 of 9;44;4.75
MSIT;Healthcare IT  - Organizatorial Modified Systems;5 of 10;50;5.20;5 of 10;50;5.40;4 of 10;40;5.00;5 of 10;50;4.20;5 of 10;50;3.80;5 of 10;50;5.00
MSIT;Healthcare IT - Organizatorial Implementation;4 of 10;40;6.00;4 of 10;40;5.50;4 of 10;40;5.50;4 of 10;40;4.75;4 of 10;40;4.75;4 of 10;40;5.25
MSOK;Design of User Interfaces and Data;5 of 16;31;5.20;5 of 16;31;5.40;4 of 16;25;5.75;5 of 16;31;5.00;5 of 16;31;1.80;5 of 16;31;4.80
MSOK;Object Oriented Programming;9 of 29;31;5.56;9 of 29;31;5.78;9 of 29;31;5.11;9 of 29;31;5.22;9 of 29;31;4.89;9 of 29;31;4.78
MSOK;Project Cluster: Introductory Academic Project;8 of 21;38;5.62;8 of 21;38;5.88;8 of 21;38;6.00;8 of 21;38;5.12;8 of 21;38;3.62;8 of 21;38;4.88
MSOK;Software Architecture;24 of 49;48;3.21;23 of 49;46;3.74;22 of 49;44;3.82;24 of 49;48;4.67;24 of 49;48;4.92;24 of 49;48;4.46
MSOK;XML-processing - methods, tools and theories;14 of 36;38;5.50;14 of 36;38;5.21;14 of 36;38;5.07;14 of 36;38;5.14;14 of 36;38;3.86;14 of 36;38;4.14
