Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
KDDK;Project Cluster: Introduction to Scripting, Databases and System Architechture;4 of 18;22;3.25;3 of 18;16;3.67;3 of 18;16;4.00;3 of 18;16;4.00;4 of 18;22;3.75;4 of 18;22;4.25
KDDK;Project Cluster: Quantitative Methods;2 of 5;40;5.50;2 of 5;40;5.50;2 of 5;40;5.50;2 of 5;40;4.50;2 of 5;40;3.50;2 of 5;40;5.00
KDDK;Project Cluster: Thesis Workshop (DDK);2 of 27;7;4.50;2 of 27;7;5.00;1 of 27;3;5.00;-;-;-;1 of 27;3;3.00;2 of 27;7;5.00
KDDK;Usability and Accessibility;13 of 30;43;5.46;13 of 30;43;5.31;13 of 30;43;5.15;13 of 30;43;5.69;13 of 30;43;3.38;13 of 30;43;4.85
KEBUSS;B1 Strategic and tactical tools for e-business;24 of 57;42;4.62;24 of 57;42;5.08;24 of 57;42;5.21;24 of 57;42;4.83;24 of 57;42;3.71;25 of 57;43;4.88
KEBUSS;B19 IT-Strategy;23 of 57;40;5.43;23 of 57;40;5.22;23 of 57;40;5.39;23 of 57;40;5.39;23 of 57;40;3.48;23 of 57;40;5.35
KEBUSS;B31 The Internet as A Battlefield - Competing With Digital Goods and Services;22 of 51;43;4.91;22 of 51;43;4.68;22 of 51;43;5.09;22 of 51;43;4.95;22 of 51;43;3.00;22 of 51;43;4.77
KEBUSS;B34 Digital entrepeneurship;8 of 30;26;4.75;8 of 30;26;4.75;8 of 30;26;4.75;8 of 30;26;4.75;8 of 30;26;2.75;8 of 30;26;4.50
KEBUSS;B36 Artificial Intelligence in the Marketplace;2 of 8;25;4.50;2 of 8;25;4.00;1 of 8;12;4.00;2 of 8;25;4.00;2 of 8;25;3.00;2 of 8;25;2.00
KEBUSS;P1 National Internet Law;27 of 64;42;5.30;26 of 64;40;5.12;26 of 64;40;5.12;26 of 64;40;4.65;26 of 64;40;3.35;26 of 64;40;4.42
KEBUSS;P5 Legal Aspects of Starting Up an IT Business;8 of 31;25;5.12;8 of 31;25;4.88;8 of 31;25;5.12;7 of 31;22;5.86;7 of 31;22;2.71;8 of 31;25;4.38
KEBUSS;SF23 Perspectives on e-business;15 of 41;36;3.73;15 of 41;36;3.33;15 of 41;36;3.40;15 of 41;36;2.73;15 of 41;36;2.80;15 of 41;36;4.00
KEBUSS;T1 Introduction to programming and distributed systems;21 of 46;45;4.95;20 of 46;43;5.30;20 of 46;43;5.25;20 of 46;43;4.45;20 of 46;43;4.55;20 of 46;43;4.80
KEBUSS;T17 Social Media Analytics;29 of 73;39;3.55;29 of 73;39;3.90;29 of 73;39;4.17;28 of 73;38;4.86;29 of 73;39;4.66;29 of 73;39;4.69
KEBUSS;T20 Ecommerce and its integration with surrounding systems;1 of 8;12;2.00;1 of 8;12;3.00;1 of 8;12;3.00;1 of 8;12;3.00;1 of 8;12;2.00;1 of 8;12;2.00
KEBUSS;T22 Gamification;4 of 16;25;5.00;4 of 16;25;5.00;4 of 16;25;5.00;4 of 16;25;4.75;4 of 16;25;2.75;4 of 16;25;4.25
KEBUSS;T24 Service Design;3 of 13;23;5.33;3 of 13;23;4.67;3 of 13;23;5.00;3 of 13;23;6.00;3 of 13;23;3.33;3 of 13;23;5.67
KEBUSS;T6 IT-Security;5 of 24;20;5.20;4 of 24;16;5.50;4 of 24;16;5.00;5 of 24;20;5.00;5 of 24;20;4.40;5 of 24;20;4.60
KEBUSS;T8 Enterprise Architecture;19 of 43;44;4.68;19 of 43;44;4.84;19 of 43;44;4.89;19 of 43;44;4.79;19 of 43;44;3.37;18 of 43;41;4.44
KGAMES;3D Game Art;8 of 25;32;5.62;8 of 25;32;5.50;8 of 25;32;5.38;8 of 25;32;5.25;8 of 25;32;2.25;8 of 25;32;4.62
KGAMES;Affective Computing;4 of 9;44;5.25;4 of 9;44;5.25;4 of 9;44;5.00;4 of 9;44;4.00;4 of 9;44;3.50;4 of 9;44;4.25
KGAMES;Data Mining;26 of 51;50;5.12;24 of 51;47;4.96;24 of 51;47;5.12;25 of 51;49;5.08;26 of 51;50;3.27;26 of 51;50;4.88
KGAMES;Digital Game Theory;2 of 8;25;6.00;2 of 8;25;5.50;2 of 8;25;5.50;2 of 8;25;6.00;1 of 8;12;6.00;2 of 8;25;4.00
KGAMES;Entrepreneurship;9 of 25;36;4.33;9 of 25;36;4.78;9 of 25;36;5.11;9 of 25;36;4.11;8 of 25;32;3.62;8 of 25;32;4.12
KGAMES;From Concept Art to In-Game Graphics;15 of 35;42;5.07;15 of 35;42;4.80;15 of 35;42;4.73;15 of 35;42;4.47;15 of 35;42;3.53;15 of 35;42;4.67
KGAMES;Game Development;28 of 58;48;4.07;26 of 58;44;4.08;26 of 58;44;4.15;27 of 58;46;5.07;27 of 58;46;3.70;27 of 58;46;4.85
KGAMES;Qualitative Methods;6 of 14;42;5.17;6 of 14;42;5.50;6 of 14;42;5.33;6 of 14;42;4.83;5 of 14;35;4.00;6 of 14;42;4.17
KSDT;Advanced Models and Programs;9 of 17;52;5.44;9 of 17;52;5.33;9 of 17;52;5.44;9 of 17;52;4.22;9 of 17;52;3.78;9 of 17;52;4.89
KSDT;Database Tuning I;7 of 31;22;4.00;6 of 31;19;4.33;6 of 31;19;3.83;7 of 31;22;4.14;7 of 31;22;3.86;7 of 31;22;4.57
KSDT;Database Tuning II;5 of 25;20;3.00;5 of 25;20;3.60;4 of 25;16;3.25;4 of 25;16;3.00;5 of 25;20;4.40;5 of 25;20;3.40
KSDT;Foundations of Computing - Algorithms and Data Structures;13 of 37;35;4.85;13 of 37;35;4.92;13 of 37;35;4.92;13 of 37;35;4.69;13 of 37;35;3.62;13 of 37;35;4.77
KSDT;Foundations of Computing - Discrete Mathematics;17 of 42;40;5.00;14 of 42;33;5.29;14 of 42;33;5.50;14 of 42;33;4.71;15 of 42;35;4.13;15 of 42;35;4.60
KSDT;Global Software Development;15 of 30;50;3.67;14 of 30;46;4.43;13 of 30;43;4.31;15 of 30;50;3.53;15 of 30;50;3.87;15 of 30;50;4.87
KSDT;Intelligent Systems Programming (formerly Efficient AI);31 of 85;36;5.13;28 of 85;32;5.21;27 of 85;31;5.00;31 of 85;36;4.97;29 of 85;34;3.97;30 of 85;35;4.73
KSDT;Introduction to Database Design;22 of 55;40;4.86;20 of 55;36;5.15;20 of 55;36;5.25;21 of 55;38;5.00;20 of 55;36;3.05;22 of 55;40;4.32
KSDT;Introduction to Graphics and Image Analysis;8 of 24;33;5.25;8 of 24;33;5.50;8 of 24;33;5.25;8 of 24;33;4.38;8 of 24;33;5.00;8 of 24;33;4.25
KSDT;Mathematical Analysis and Linear Algebra;9 of 22;40;5.00;8 of 22;36;5.38;7 of 22;31;4.57;8 of 22;36;4.50;9 of 22;40;4.00;9 of 22;40;4.22
KSDT;Model Driven Development Project;20 of 43;46;2.80;17 of 43;39;4.06;18 of 43;41;4.00;20 of 43;46;3.05;20 of 43;46;4.25;19 of 43;44;4.16
KSDT;Pervasive Computing (lectures);18 of 31;58;4.83;15 of 31;48;4.73;15 of 31;48;4.93;18 of 31;58;5.11;18 of 31;58;5.00;18 of 31;58;5.00
KSDT;Project Cluster: Advanced Algorithms Seminar;3 of 8;37;5.33;3 of 8;37;5.00;3 of 8;37;5.00;3 of 8;37;4.67;3 of 8;37;4.33;3 of 8;37;4.33
KSDT;Project Cluster: Programming Workshop;11 of 23;47;4.09;8 of 23;34;4.25;7 of 23;30;4.57;8 of 23;34;5.00;9 of 23;39;3.89;9 of 23;39;4.44
MILM;Business Cases;16 of 32;50;5.00;16 of 32;50;5.12;16 of 32;50;5.06;16 of 32;50;5.31;16 of 32;50;3.62;16 of 32;50;4.44
MILM;Business and Management;20 of 62;32;4.95;20 of 62;32;5.15;19 of 62;30;5.11;20 of 62;32;5.10;20 of 62;32;3.30;20 of 62;32;4.65
MILM;Enterprise Architecture (Master);14 of 41;34;4.86;13 of 41;31;5.08;14 of 41;34;5.00;14 of 41;34;5.00;14 of 41;34;2.71;14 of 41;34;4.29
MILM;IT Organisation of the future;8 of 25;32;5.62;8 of 25;32;5.00;8 of 25;32;5.00;8 of 25;32;5.25;8 of 25;32;3.75;8 of 25;32;4.50
MILM;IT Project and Programme Management;7 of 32;21;4.57;7 of 32;21;4.57;7 of 32;21;4.29;7 of 32;21;4.86;7 of 32;21;3.71;7 of 32;21;4.29
MILM;IT Service Management;5 of 13;38;5.80;5 of 13;38;5.60;5 of 13;38;5.20;5 of 13;38;5.00;5 of 13;38;5.00;5 of 13;38;5.60
MILM;Organization and Business Theory;4 of 9;44;5.75;4 of 9;44;5.75;4 of 9;44;5.50;4 of 9;44;5.25;4 of 9;44;2.25;4 of 9;44;4.25
MILM;Presentation and Investigation;6 of 22;27;4.17;6 of 22;27;4.00;6 of 22;27;4.17;6 of 22;27;4.00;6 of 22;27;4.83;6 of 22;27;4.67
MILM;Project Cluster: IT Leadership and Management;3 of 5;60;5.33;3 of 5;60;5.33;3 of 5;60;6.00;3 of 5;60;5.67;3 of 5;60;5.00;3 of 5;60;4.67
MILM;Software Acquisition and Requirements;9 of 31;29;4.67;9 of 31;29;5.00;9 of 31;29;4.67;9 of 31;29;5.00;9 of 31;29;2.56;8 of 31;25;3.75
MIND;Advanced Graphic Design;11 of 31;35;4.27;11 of 31;35;4.36;11 of 31;35;4.73;11 of 31;35;5.18;11 of 31;35;3.91;11 of 31;35;4.82
MIND;Digital Media - Interactive Design;1 of 18;5;4.00;1 of 18;5;4.00;1 of 18;5;5.00;1 of 18;5;4.00;1 of 18;5;2.00;1 of 18;5;6.00
MIND;Innovation and Concept Development;3 of 17;17;5.00;3 of 17;17;5.00;3 of 17;17;5.00;3 of 17;17;4.67;3 of 17;17;1.67;3 of 17;17;6.00
MIND;Innovative Business Models using Mobile Units;6 of 9;66;5.33;6 of 9;66;5.50;5 of 9;55;5.20;6 of 9;66;5.33;6 of 9;66;3.33;6 of 9;66;4.50
MIND;Learning and IT;6 of 19;31;5.83;6 of 19;31;5.83;6 of 19;31;5.83;6 of 19;31;6.00;6 of 19;31;3.17;6 of 19;31;5.67
MIND;Target Group Analysis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MIND;Understanding Interaction Design;13 of 16;81;5.62;13 of 16;81;5.31;13 of 16;81;5.46;13 of 16;81;5.38;13 of 16;81;3.77;13 of 16;81;4.85
MIND;Usability;14 of 26;53;5.14;14 of 26;53;4.79;14 of 26;53;4.86;14 of 26;53;4.57;14 of 26;53;3.50;14 of 26;53;4.93
MSKO;Advanced Software Engineering;12 of 28;42;4.75;11 of 28;39;4.82;11 of 28;39;4.64;12 of 28;42;4.58;12 of 28;42;3.92;12 of 28;42;4.42
MSKO;Interactive Web Services with Java and XML;9 of 21;42;5.56;9 of 21;42;4.89;9 of 21;42;4.44;9 of 21;42;5.22;9 of 21;42;3.67;9 of 21;42;4.89
MSKO;Introductory Programming;14 of 39;35;5.00;12 of 39;30;5.00;13 of 39;33;5.00;13 of 39;33;5.38;12 of 39;30;3.75;14 of 39;35;4.50
MSKO;Mobile App Development;22 of 76;28;5.14;21 of 76;27;5.24;21 of 76;27;5.19;22 of 76;28;5.05;22 of 76;28;3.86;22 of 76;28;4.68
MSKO;Object Oriented Programming;11 of 36;30;4.91;11 of 36;30;5.36;11 of 36;30;5.00;11 of 36;30;5.55;11 of 36;30;3.82;11 of 36;30;5.18
MSKO;Project Cluster: Cloud Computing;27 of 42;64;2.52;26 of 42;61;3.00;26 of 42;61;3.38;27 of 42;64;3.96;27 of 42;64;4.00;27 of 42;64;4.81
MSKO;Project Cluster: Introductory Academic Project;10 of 31;32;5.60;10 of 31;32;5.40;10 of 31;32;5.20;10 of 31;32;4.00;10 of 31;32;4.10;10 of 31;32;5.00
