Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
KDDK;Innovation, Concept Development and Project Management;41 of 62;66;4.98;40 of 62;64;5.08;40 of 62;64;5.00;41 of 62;66;4.85;41 of 62;66;3.24;41 of 62;66;4.63
KDDK;Interaction Design;33 of 76;43;4.91;32 of 76;42;4.91;30 of 76;39;4.90;32 of 76;42;4.81;32 of 76;42;4.12;32 of 76;42;4.97
KDDK;Interactive Multimedia;12 of 32;37;5.25;12 of 32;37;4.92;12 of 32;37;5.17;12 of 32;37;5.17;12 of 32;37;3.75;12 of 32;37;5.00
KDDK;Introduction to Scripting, Databases and System Architecture;52 of 91;57;3.37;51 of 91;56;4.53;51 of 91;56;4.67;53 of 91;58;3.13;53 of 91;58;4.19;52 of 91;57;4.77
KDDK;Media and Communication;33 of 84;39;4.27;33 of 84;39;4.94;32 of 84;38;4.84;33 of 84;39;4.52;33 of 84;39;3.67;33 of 84;39;4.12
KDDK;Mobile Communication: Technical Issues and Methods for Study;8 of 16;50;5.88;8 of 16;50;5.50;8 of 16;50;5.62;8 of 16;50;5.50;8 of 16;50;4.75;8 of 16;50;5.50
KDDK;Project Cluster: Collaboration with the City of Copenhagen's Citizens Services or Corporate Service Center ;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;4.00;1 of 12;8;6.00;1 of 12;8;6.00
KDDK;Project Cluster: Mobile Media, Mobile Youth;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDDK;Situational Methods for Digital Studies;8 of 18;44;5.88;8 of 18;44;5.88;8 of 18;44;5.50;8 of 18;44;5.12;8 of 18;44;3.25;8 of 18;44;4.88
KDDK;Usability and Accessibility;7 of 11;63;6.00;7 of 11;63;5.86;7 of 11;63;5.71;7 of 11;63;5.29;7 of 11;63;3.86;7 of 11;63;4.86
KDDK;Web Design and Web Communication group 1;32 of 72;44;5.62;32 of 72;44;5.56;32 of 72;44;5.22;32 of 72;44;5.66;32 of 72;44;4.00;32 of 72;44;5.06
KDDK;Web Design and Web Communication group 2;16 of 53;30;5.25;16 of 53;30;5.44;16 of 53;30;5.12;16 of 53;30;4.81;16 of 53;30;3.31;15 of 53;28;4.87
KEBUSS;B1 Strategic and tactical tools for e-business;15 of 39;38;4.33;15 of 39;38;3.93;15 of 39;38;4.00;15 of 39;38;4.67;15 of 39;38;3.80;15 of 39;38;4.27
KEBUSS;B19 IT-Strategy;13 of 39;33;5.38;12 of 39;30;5.08;12 of 39;30;5.25;12 of 39;30;5.42;12 of 39;30;3.58;12 of 39;30;5.08
KEBUSS;B22 Online marketing - advertising, consumers and communities;19 of 60;31;5.26;19 of 60;31;4.84;19 of 60;31;5.00;19 of 60;31;5.37;19 of 60;31;3.89;19 of 60;31;4.16
KEBUSS;B25 Sustainable IT;6 of 9;66;4.50;6 of 9;66;5.00;5 of 9;55;5.00;6 of 9;66;4.50;6 of 9;66;3.50;6 of 9;66;4.33
KEBUSS;B28 Mobile Business Strategy - Making Profits from the Wireless Revolution;9 of 27;33;5.00;9 of 27;33;4.89;9 of 27;33;4.67;9 of 27;33;5.11;9 of 27;33;2.89;9 of 27;33;4.11
KEBUSS;P1 National Internet Law;15 of 34;44;5.40;15 of 34;44;5.47;15 of 34;44;4.93;15 of 34;44;4.80;15 of 34;44;3.27;15 of 34;44;4.67
KEBUSS;P5 Legal Aspects of Starting Up an IT Business;8 of 24;33;5.00;7 of 24;29;5.14;7 of 24;29;5.29;8 of 24;33;4.88;8 of 24;33;3.25;7 of 24;29;4.43
KEBUSS;P6. Government 2.0: EU and national regulation and policies;2 of 8;25;5.00;2 of 8;25;5.00;2 of 8;25;5.00;2 of 8;25;5.00;2 of 8;25;3.50;2 of 8;25;4.50
KEBUSS;SF23 Perspectives on e-business;9 of 15;60;4.56;9 of 15;60;4.22;9 of 15;60;4.33;9 of 15;60;4.33;9 of 15;60;3.00;9 of 15;60;4.22
KEBUSS;T1 Introduction to programming and distributed systems;14 of 34;41;5.50;14 of 34;41;5.50;14 of 34;41;5.29;14 of 34;41;4.50;14 of 34;41;3.93;14 of 34;41;4.71
KEBUSS;T14 Human Information Processing;6 of 13;46;5.50;6 of 13;46;5.17;6 of 13;46;5.00;6 of 13;46;4.83;6 of 13;46;4.67;6 of 13;46;4.67
KEBUSS;T6 IT-Security;15 of 35;42;5.20;15 of 35;42;4.73;14 of 35;40;4.86;15 of 35;42;4.93;15 of 35;42;3.93;15 of 35;42;5.00
KEBUSS;T8 Enterprise Architecture;36 of 68;52;4.36;36 of 68;52;4.25;36 of 68;52;4.44;36 of 68;52;4.47;36 of 68;52;3.53;36 of 68;52;4.03
KMTG;3D Game Art;14 of 35;40;4.86;13 of 35;37;4.85;13 of 35;37;4.85;13 of 35;37;4.31;13 of 35;37;2.92;13 of 35;37;4.23
KMTG;Data Mining;13 of 36;36;4.77;11 of 36;30;5.00;11 of 36;30;4.91;12 of 36;33;4.50;13 of 36;36;3.23;13 of 36;36;4.69
KMTG;Digital Game Theory;3 of 9;33;5.00;3 of 9;33;5.33;3 of 9;33;5.33;3 of 9;33;5.33;3 of 9;33;4.00;3 of 9;33;5.00
KMTG;Experimental Interaction;14 of 20;70;5.71;14 of 20;70;5.93;14 of 20;70;5.79;14 of 20;70;5.29;14 of 20;70;4.07;14 of 20;70;4.86
KMTG;From Concept Art to In-Game Graphics;7 of 19;36;4.86;6 of 19;31;4.33;6 of 19;31;4.33;6 of 19;31;4.50;6 of 19;31;2.67;7 of 19;36;4.00
KMTG;Game Development;26 of 53;49;4.69;25 of 53;47;4.56;25 of 53;47;4.60;25 of 53;47;5.36;25 of 53;47;4.56;24 of 53;45;5.17
KMTG;Marketing and Game Journalism (Formerly Games and Journalism);4 of 9;44;6.00;4 of 9;44;5.00;4 of 9;44;5.00;4 of 9;44;4.75;4 of 9;44;2.75;4 of 9;44;5.25
KMTG;Persuasive and Serious Games;20 of 46;43;3.80;19 of 46;41;4.05;19 of 46;41;4.32;20 of 46;43;3.60;20 of 46;43;3.85;20 of 46;43;3.95
KMTG;Qualitative Methods;3 of 14;21;5.33;3 of 14;21;6.00;3 of 14;21;5.67;3 of 14;21;5.00;3 of 14;21;4.67;3 of 14;21;4.67
KSDT;Advanced Mobile and Distributed Systems Seminar;5 of 20;25;5.20;4 of 20;20;4.50;4 of 20;20;4.75;5 of 20;25;5.00;5 of 20;25;4.40;5 of 20;25;4.60
KSDT;Advanced Models and Programs;8 of 21;38;5.25;6 of 21;28;5.17;6 of 21;28;5.50;7 of 21;33;5.00;8 of 21;38;4.62;7 of 21;33;4.43
KSDT;Database Tuning I;5 of 32;15;5.00;4 of 32;12;4.75;4 of 32;12;4.50;5 of 32;15;4.80;5 of 32;15;6.00;5 of 32;15;5.40
KSDT;Database Tuning II;1 of 26;3;5.00;1 of 26;3;5.00;1 of 26;3;5.00;2 of 26;7;5.50;1 of 26;3;6.00;1 of 26;3;4.00
KSDT;Efficient AI Programming;24 of 66;36;4.67;21 of 66;31;5.29;22 of 66;33;5.09;22 of 66;33;4.45;22 of 66;33;4.64;22 of 66;33;4.50
KSDT;Foundations of Computing - Algorithms and Data Structures;11 of 26;42;3.82;10 of 26;38;4.40;10 of 26;38;4.20;10 of 26;38;4.90;10 of 26;38;3.70;10 of 26;38;4.30
KSDT;Foundations of Computing - Discrete Mathematics;9 of 25;36;5.00;9 of 25;36;5.00;8 of 25;32;4.75;8 of 25;32;4.62;8 of 25;32;4.25;8 of 25;32;4.88
KSDT;Introduction to Database Design;14 of 39;35;4.43;13 of 39;33;5.00;13 of 39;33;5.00;14 of 39;35;4.57;12 of 39;30;4.67;13 of 39;33;4.46
KSDT;Introduction to Graphics and Image Analysis (formerly Multimedia Technology);15 of 28;53;4.33;14 of 28;50;4.36;14 of 28;50;4.43;15 of 28;53;3.33;15 of 28;53;4.47;15 of 28;53;4.20
KSDT;Mobile and Distributed Systems;11 of 24;45;5.09;9 of 24;37;4.89;9 of 24;37;4.67;9 of 24;37;4.89;9 of 24;37;4.89;10 of 24;41;4.00
KSDT;Project Cluster: Programming Workshop;15 of 36;41;4.60;15 of 36;41;4.93;15 of 36;41;4.87;15 of 36;41;5.07;15 of 36;41;3.27;15 of 36;41;4.40
MILS;Business Process Management;15 of 40;37;4.67;15 of 40;37;4.53;15 of 40;37;4.73;15 of 40;37;5.47;15 of 40;37;3.40;15 of 40;37;4.33
MILS;Enterprise Architecture (Master);14 of 40;35;5.29;14 of 40;35;5.36;14 of 40;35;5.00;14 of 40;35;4.93;14 of 40;35;3.36;14 of 40;35;4.71
MILS;Knowledge Management and Organizational Learning;8 of 22;36;5.25;8 of 22;36;4.88;7 of 22;31;4.86;8 of 22;36;5.25;8 of 22;36;3.12;8 of 22;36;3.88
MILS;Outsourcing;2 of 7;28;3.00;2 of 7;28;2.50;2 of 7;28;3.00;2 of 7;28;4.50;2 of 7;28;2.00;2 of 7;28;3.00
MILS;Personal Management and Change Management;6 of 19;31;5.67;6 of 19;31;5.33;6 of 19;31;5.67;6 of 19;31;5.33;6 of 19;31;2.83;6 of 19;31;4.83
MILS;Presentation and Investigation;11 of 40;27;4.64;9 of 40;22;5.22;11 of 40;27;4.91;11 of 40;27;4.55;11 of 40;27;2.73;11 of 40;27;3.82
MILS;Software Acquisition and Requirements;10 of 32;31;5.10;10 of 32;31;5.50;10 of 32;31;5.40;10 of 32;31;5.30;10 of 32;31;4.10;10 of 32;31;3.80
MINM;Basic Graphic Design - group 1;14 of 23;60;5.57;14 of 23;60;5.43;14 of 23;60;5.07;14 of 23;60;5.14;14 of 23;60;4.79;14 of 23;60;5.14
MINM;Dynamic Web Design;16 of 29;55;5.31;16 of 29;55;5.19;16 of 29;55;5.12;16 of 29;55;5.62;16 of 29;55;3.12;16 of 29;55;4.69
MINM;Interactive Multimedia;11 of 32;34;5.36;11 of 32;34;5.55;11 of 32;34;5.36;11 of 32;34;4.82;11 of 32;34;3.55;11 of 32;34;4.45
MINM;Target Group Analysis;10 of 20;50;5.30;10 of 20;50;5.60;10 of 20;50;5.60;10 of 20;50;5.50;10 of 20;50;3.70;10 of 20;50;4.70
MINM;Understanding Interaction Design;9 of 13;69;5.78;9 of 13;69;5.44;9 of 13;69;5.33;9 of 13;69;5.33;9 of 13;69;2.89;9 of 13;69;5.11
MINM;Usability;6 of 19;31;5.67;6 of 19;31;5.67;6 of 19;31;5.50;6 of 19;31;5.50;5 of 19;26;4.00;6 of 19;31;5.17
MORI;Advanced Organization Theory;6 of 10;60;6.00;6 of 10;60;5.83;6 of 10;60;5.17;6 of 10;60;5.33;6 of 10;60;2.83;6 of 10;60;5.33
MORI;IT Project Management;5 of 26;19;5.80;5 of 26;19;5.60;5 of 26;19;5.20;5 of 26;19;5.20;5 of 26;19;4.00;5 of 26;19;5.20
MORI;IT Project Management and Software Products;4 of 12;33;5.50;4 of 12;33;5.00;4 of 12;33;5.25;4 of 12;33;5.50;4 of 12;33;2.25;4 of 12;33;4.75
MSIT;Project Cluster: Master Project on HealthCareIT;4 of 10;40;5.50;4 of 10;40;3.75;3 of 10;30;3.00;4 of 10;40;4.25;4 of 10;40;4.75;4 of 10;40;5.25
MSIT;Project Cluster:HealthCareIT - Organizationel Perspective;1 of 2;50;6.00;1 of 2;50;6.00;1 of 2;50;6.00;1 of 2;50;5.00;1 of 2;50;4.00;1 of 2;50;5.00
MSOK;Advanced Software Engineering;30 of 74;40;3.53;29 of 74;39;4.00;25 of 74;33;4.16;30 of 74;40;4.07;29 of 74;39;3.55;30 of 74;40;4.13
MSOK;Cloud Computing;10 of 19;52;2.40;9 of 19;47;3.22;9 of 19;47;4.22;10 of 19;52;4.70;10 of 19;52;3.30;10 of 19;52;4.60
MSOK;Interactive Web Services with Java and XML;11 of 42;26;4.09;10 of 42;23;4.10;10 of 42;23;4.00;10 of 42;23;3.60;10 of 42;23;4.30;10 of 42;23;4.50
MSOK;Introductory Programming;16 of 43;37;4.62;16 of 43;37;5.00;16 of 43;37;5.12;16 of 43;37;5.00;16 of 43;37;4.31;16 of 43;37;4.75
MSOK;Object Oriented Programming;5 of 26;19;5.20;5 of 26;19;5.00;4 of 26;15;4.75;5 of 26;19;5.20;5 of 26;19;4.20;5 of 26;19;3.80
MSOK;Project Cluster: Introductory Academic Project;15 of 31;48;5.20;15 of 31;48;5.40;15 of 31;48;4.93;15 of 31;48;3.87;15 of 31;48;3.07;15 of 31;48;4.60
