Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
KEBUSS;T15 Design of Business IT;15 of 41;36;4.07;15 of 41;36;4.47;15 of 41;36;4.40;15 of 41;36;3.67;15 of 41;36;3.87;15 of 41;36;4.67
KEBUSS;T16 Smart Phone e-Business Application Development;11 of 30;36;5.00;11 of 30;36;4.73;10 of 30;33;5.20;11 of 30;36;5.00;11 of 30;36;3.82;11 of 30;36;5.18
KEBUSS;T6 IT-Security;7 of 17;41;5.43;7 of 17;41;5.29;7 of 17;41;5.14;7 of 17;41;5.86;7 of 17;41;3.57;7 of 17;41;4.57
KGAMES;Advanced Topics in Game Technology;4 of 13;30;3.25;4 of 13;30;4.25;4 of 13;30;4.25;4 of 13;30;2.50;4 of 13;30;2.75;4 of 13;30;4.75
KGAMES;Computer Games Culture;4 of 13;30;5.50;4 of 13;30;5.50;4 of 13;30;5.50;4 of 13;30;5.00;4 of 13;30;5.00;4 of 13;30;5.25
KGAMES;Experimental Interaction;5 of 16;31;3.60;5 of 16;31;4.00;5 of 16;31;4.20;5 of 16;31;3.80;5 of 16;31;3.80;5 of 16;31;4.60
KGAMES;Foundations of Play and Games;15 of 52;28;5.13;14 of 52;26;5.57;14 of 52;26;5.50;14 of 52;26;4.21;14 of 52;26;3.79;14 of 52;26;4.36
KGAMES;From Concept Art to In-Game Graphics;6 of 24;25;5.00;5 of 24;20;5.40;5 of 24;20;5.00;6 of 24;25;4.67;6 of 24;25;3.83;6 of 24;25;4.17
KGAMES;Game Design;28 of 78;35;5.43;27 of 78;34;5.33;27 of 78;34;5.30;27 of 78;34;5.22;27 of 78;34;4.22;27 of 78;34;4.89
KGAMES;Game Engines;9 of 23;39;4.89;9 of 23;39;5.44;9 of 23;39;5.22;9 of 23;39;5.67;9 of 23;39;3.56;9 of 23;39;4.67
KGAMES;Modern AI for Games;13 of 28;46;5.38;13 of 28;46;5.23;13 of 28;46;5.15;13 of 28;46;5.31;13 of 28;46;4.31;13 of 28;46;4.77
KGAMES;Procedural Content Generation in Games;4 of 13;30;4.75;4 of 13;30;5.25;4 of 13;30;4.50;4 of 13;30;5.75;4 of 13;30;4.25;4 of 13;30;4.75
KGAMES;Thesis Preparation - Games;3 of 15;20;3.67;3 of 15;20;3.33;3 of 15;20;3.33;3 of 15;20;3.67;3 of 15;20;2.67;3 of 15;20;3.00
KGAMES;User Experience and Prototyping;13 of 29;44;3.38;12 of 29;41;4.25;12 of 29;41;4.08;12 of 29;41;4.00;12 of 29;41;3.75;12 of 29;41;4.08
KSDT;Advanced Mobile and Distributed Systems Seminar;6 of 11;54;4.00;6 of 11;54;4.33;6 of 11;54;4.67;6 of 11;54;4.50;6 of 11;54;3.33;6 of 11;54;3.33
KSDT;Advanced Models and Programs (recap);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KSDT;Algorithm Design I;40 of 96;41;4.97;37 of 96;38;4.81;37 of 96;38;4.70;39 of 96;40;4.85;37 of 96;38;4.19;38 of 96;39;5.03
KSDT;Algorithm Design II;12 of 32;37;4.83;10 of 32;31;5.00;10 of 32;31;4.80;11 of 32;34;5.00;11 of 32;34;3.45;11 of 32;34;4.36
KSDT;Big Data Management (Replaces Building Database Systems);29 of 57;50;4.69;25 of 57;43;4.76;24 of 57;42;4.71;28 of 57;49;5.00;27 of 57;47;3.37;28 of 57;49;3.68
KSDT;Foundations of Computing - Algorithms and Data Structures;17 of 43;39;4.59;17 of 43;39;4.65;16 of 43;37;4.81;17 of 43;39;4.94;17 of 43;39;3.71;17 of 43;39;4.06
KSDT;Foundations of Computing - Discrete Mathematics;17 of 41;41;4.41;17 of 41;41;5.24;17 of 41;41;4.59;17 of 41;41;4.24;17 of 41;41;3.59;17 of 41;41;4.59
KSDT;Global Software Development;26 of 65;40;3.54;22 of 65;33;3.91;20 of 65;30;4.35;26 of 65;40;3.96;24 of 65;36;4.29;24 of 65;36;4.71
KSDT;Global Software Development 2;5 of 8;62;3.00;5 of 8;62;2.60;4 of 8;50;3.00;5 of 8;62;3.80;5 of 8;62;3.60;5 of 8;62;4.00
KSDT;Introduction to Database Design;10 of 23;43;5.60;10 of 23;43;5.30;10 of 23;43;5.10;10 of 23;43;5.30;10 of 23;43;3.10;10 of 23;43;4.80
KSDT;Introductory Programming;24 of 53;45;5.50;22 of 53;41;5.73;22 of 53;41;5.64;23 of 53;43;5.48;23 of 53;43;4.57;23 of 53;43;5.61
KSDT;Mobile and Distributed Systems;14 of 39;35;4.21;12 of 39;30;4.58;10 of 39;25;4.60;13 of 39;33;4.85;12 of 39;30;3.92;13 of 39;33;4.46
KSDT;Pervasive Computing (project);8 of 19;42;5.38;8 of 19;42;5.12;8 of 19;42;5.38;8 of 19;42;4.88;8 of 19;42;4.12;8 of 19;42;4.62
KSDT;Programming Language Concepts and Implementation;13 of 22;59;5.54;13 of 22;59;5.54;13 of 22;59;5.00;13 of 22;59;4.69;13 of 22;59;4.23;13 of 22;59;5.00
KSDT;Programming Language Seminar;4 of 10;40;5.75;4 of 10;40;5.25;4 of 10;40;5.00;4 of 10;40;5.00;4 of 10;40;2.25;4 of 10;40;5.75
KSDT;Programming Workshop;14 of 32;43;4.93;13 of 32;40;5.08;12 of 32;37;5.42;14 of 32;43;4.71;14 of 32;43;3.79;14 of 32;43;5.00
KSDT;Software Engineering and Software Qualities;29 of 59;49;4.31;26 of 59;44;5.04;26 of 59;44;5.08;28 of 59;47;5.39;29 of 59;49;4.79;29 of 59;49;5.14
KSDT;System Architecture and Security;17 of 50;34;4.53;15 of 50;30;4.60;15 of 50;30;5.00;16 of 50;32;5.06;16 of 50;32;3.75;16 of 50;32;4.75
MILM;Business IT Alignment;8 of 29;27;4.88;8 of 29;27;5.12;8 of 29;27;5.00;8 of 29;27;5.25;8 of 29;27;3.88;8 of 29;27;4.88
MILM;Business and Management;7 of 71;9;5.14;6 of 71;8;5.17;5 of 71;7;5.40;7 of 71;9;4.29;7 of 71;9;3.14;7 of 71;9;4.57
MILM;Change Management;8 of 27;29;4.50;8 of 27;29;4.50;8 of 27;29;4.62;8 of 27;29;5.12;8 of 27;29;2.75;8 of 27;29;4.25
MILM;ERP, CRM and Business Intelligence;13 of 14;92;5.15;13 of 14;92;4.77;13 of 14;92;5.00;13 of 14;92;5.23;13 of 14;92;3.00;13 of 14;92;4.38
MILM;Enterprise Architecture (Master);11 of 44;25;5.00;10 of 44;22;5.00;10 of 44;22;4.90;11 of 44;25;4.55;11 of 44;25;3.73;11 of 44;25;4.18
MILM;IT Project and Programme Management;10 of 36;27;5.10;10 of 36;27;4.80;10 of 36;27;5.00;10 of 36;27;5.10;10 of 36;27;3.20;10 of 36;27;4.50
MILM;IT Project and Programme Management;14 of 35;40;4.86;14 of 35;40;4.79;14 of 35;40;4.64;14 of 35;40;4.71;14 of 35;40;2.93;14 of 35;40;4.21
MILM;IT Service Management;5 of 21;23;6.00;5 of 21;23;5.80;5 of 21;23;5.60;5 of 21;23;5.80;5 of 21;23;4.60;5 of 21;23;5.20
MILM;Presentation and Investigation;6 of 23;26;4.17;6 of 23;26;4.17;6 of 23;26;5.17;6 of 23;26;3.83;6 of 23;26;3.67;6 of 23;26;4.50
MILM;Project Cluster: IT Leadership and Management;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MILM;Software Acquisition and Requirements;6 of 43;13;5.50;6 of 43;13;5.50;6 of 43;13;5.67;6 of 43;13;5.33;6 of 43;13;3.17;6 of 43;13;4.17
MILM;Strategisk ledelse;4 of 21;19;5.00;4 of 21;19;4.50;4 of 21;19;4.25;4 of 21;19;4.50;4 of 21;19;3.00;3 of 21;14;4.67
MIND;Basic Graphic Design;5 of 11;45;4.80;5 of 11;45;5.40;5 of 11;45;5.60;5 of 11;45;5.60;5 of 11;45;4.40;5 of 11;45;5.20
MIND;Digital Media - Interactive Design;6 of 14;42;4.67;6 of 14;42;4.83;6 of 14;42;5.33;5 of 14;35;4.20;5 of 14;35;3.20;5 of 14;35;4.20
MIND;Dynamic Web Design;10 of 24;41;5.30;10 of 24;41;4.90;10 of 24;41;5.20;10 of 24;41;5.20;10 of 24;41;3.60;10 of 24;41;4.20
MIND;Innovation and Concept Development;10 of 19;52;5.10;9 of 19;47;5.22;10 of 19;52;5.00;10 of 19;52;5.20;10 of 19;52;2.70;10 of 19;52;4.60
MIND;Innovative Business Models using Mobile Units;10 of 20;50;3.60;9 of 20;45;3.78;9 of 20;45;4.00;9 of 20;45;3.56;9 of 20;45;3.22;9 of 20;45;3.56
MIND;Interaction Design - Theory and Method;4 of 15;26;5.50;4 of 15;26;5.25;4 of 15;26;5.25;4 of 15;26;5.50;4 of 15;26;2.25;4 of 15;26;4.75
MIND;Learning and IT;6 of 23;26;5.17;6 of 23;26;5.00;6 of 23;26;5.33;5 of 23;21;4.80;5 of 23;21;3.40;5 of 23;21;4.20
MIND;Target Group Analysis;11 of 12;91;5.55;11 of 12;91;5.18;11 of 12;91;5.18;11 of 12;91;5.00;10 of 12;83;2.50;11 of 12;91;4.55
MIND;Usability & User Experience - Methods and Communication;18 of 43;41;5.11;18 of 43;41;5.06;18 of 43;41;5.11;18 of 43;41;4.83;18 of 43;41;3.22;18 of 43;41;4.72
MSKO;Object Oriented Programming;6 of 32;18;4.83;5 of 32;15;4.00;5 of 32;15;4.60;6 of 32;18;6.00;6 of 32;18;4.50;6 of 32;18;4.67
MSKO;Project Cluster: Introductory Academic Project;7 of 34;20;5.57;7 of 34;20;5.29;6 of 34;17;5.17;7 of 34;20;4.43;7 of 34;20;3.71;7 of 34;20;4.57
MSKO;Software Architecture;4 of 22;18;2.75;4 of 22;18;3.75;4 of 22;18;4.50;4 of 22;18;4.50;4 of 22;18;3.50;4 of 22;18;4.00
